idxYear, Jan, Feb, Marc, P
216,1958  0.258  0.091  0.006 -0.068  0.017 -0.154 -0.018 -0.082 -0.112 -0.017 -0.037 -0.082 -0.016
218,1959  0.015 -0.007  0.018  0.029 -0.039 -0.001 -0.040 -0.038 -0.140 -0.070 -0.183 -0.102 -0.047
220,1960 -0.113  0.024 -0.444 -0.261 -0.176 -0.124 -0.111 -0.001  0.005 -0.029 -0.214  0.084 -0.113
222,1961 -0.046  0.097 -0.055  0.066  0.074  0.092 -0.033 -0.008 -0.025 -0.060 -0.027 -0.248 -0.014
224,1962 -0.052  0.019  0.024 -0.017 -0.175 -0.051 -0.106 -0.106 -0.070 -0.036 -0.016 -0.122 -0.059
226,1963 -0.114  0.045 -0.337 -0.175 -0.142 -0.063  0.065  0.152  0.127  0.070  0.051 -0.057 -0.031
228,1964 -0.187 -0.220 -0.379 -0.438 -0.370 -0.166 -0.197 -0.296 -0.400 -0.309 -0.295 -0.369 -0.302
230,1965 -0.159 -0.262 -0.257 -0.298 -0.188 -0.205 -0.265 -0.159 -0.244 -0.104 -0.143 -0.144 -0.202
232,1966 -0.281 -0.162 -0.170 -0.169 -0.215 -0.101  0.005 -0.097 -0.082 -0.231 -0.104 -0.138 -0.145
234,1967 -0.217 -0.325 -0.094 -0.132  0.061 -0.108 -0.067 -0.098 -0.122 -0.017 -0.119 -0.151 -0.116
236,1968 -0.318 -0.261  0.001 -0.177 -0.222 -0.148 -0.192 -0.124 -0.221  0.012 -0.131 -0.187 -0.164
238,1969 -0.158 -0.193 -0.129  0.051  0.067  0.010 -0.104 -0.068 -0.009  0.004  0.026  0.171 -0.028
240,1970  0.015  0.064 -0.089 -0.078 -0.141 -0.136 -0.110 -0.197 -0.029 -0.059 -0.059 -0.190 -0.084
242,1971 -0.141 -0.272 -0.337 -0.232 -0.196 -0.258 -0.182 -0.179 -0.122 -0.154 -0.149 -0.227 -0.204
244,1972 -0.375 -0.276 -0.140 -0.125 -0.079 -0.030 -0.089  0.067 -0.049 -0.052 -0.048  0.114 -0.090
246,1973  0.104  0.162  0.119  0.196  0.111  0.107  0.020 -0.021 -0.032  0.015 -0.023 -0.127  0.052
248,1974 -0.281 -0.443 -0.236 -0.198 -0.128 -0.112 -0.132  0.027 -0.087 -0.108 -0.119 -0.207 -0.169
250,1975 -0.090 -0.018 -0.005 -0.045  0.057 -0.056 -0.100 -0.228 -0.135 -0.148 -0.257 -0.245 -0.106
252,1976 -0.165 -0.226 -0.332 -0.180 -0.355 -0.231 -0.168 -0.238 -0.148 -0.330 -0.132 -0.025 -0.211
254,1977  0.155  0.109  0.080  0.136  0.228  0.210  0.143  0.133 -0.001 -0.015  0.122 -0.039  0.105
256,1978  0.037  0.075  0.060  0.053  0.014 -0.054  0.015 -0.217  0.037 -0.060  0.094  0.011  0.006
258,1979  0.048 -0.181  0.063  0.074 -0.026  0.046  0.016  0.114  0.171  0.143  0.205  0.384  0.088
260,1980  0.249  0.355  0.210  0.230  0.242  0.126  0.202  0.161  0.122  0.091  0.203  0.107  0.192
262,1981  0.442  0.337  0.326  0.193  0.142  0.240  0.266  0.307  0.137  0.052  0.159  0.362  0.247
264,1982 -0.033  0.063 -0.140  0.020  0.087 -0.004  0.073 -0.048  0.012  0.039  0.027  0.276  0.031
266,1983  0.358  0.333  0.245  0.173  0.219  0.163  0.110  0.280  0.323  0.111  0.242  0.092  0.221
268,1984  0.152  0.024  0.144  0.009  0.212 -0.039  0.021  0.091  0.124  0.036 -0.061 -0.162  0.046
270,1985  0.112 -0.104  0.038 -0.001  0.062  0.118 -0.027  0.139  0.115  0.035  0.012  0.052  0.046
272,1986  0.113  0.303  0.131  0.127  0.138  0.037  0.038  0.088  0.021  0.050  0.036  0.026  0.092
274,1987  0.213  0.313  0.098  0.185  0.162  0.260  0.343  0.208  0.259  0.267  0.183  0.366  0.238
276,1988  0.453  0.327  0.381  0.322  0.314  0.329  0.252  0.254  0.253  0.252  0.024  0.171  0.278
278,1989 -0.031  0.234  0.181  0.145  0.034  0.093  0.259  0.250  0.293  0.254  0.109  0.279  0.175
280,1990  0.280  0.273  0.628  0.490  0.401  0.311  0.374  0.274  0.213  0.380  0.353  0.283  0.355
282,1991  0.297  0.400  0.241  0.432  0.308  0.429  0.463  0.361  0.347  0.245  0.249  0.233  0.334
284,1992  0.357  0.343  0.305  0.156  0.164  0.152  0.003  0.035 -0.096 -0.029 -0.040  0.090  0.120
286,1993  0.257  0.274  0.233  0.191  0.191  0.161  0.156  0.078  0.041  0.148  0.060  0.143  0.161
288,1994  0.192  0.002  0.234  0.246  0.198  0.312  0.177  0.168  0.265  0.342  0.350  0.243  0.227
290,1995  0.411  0.633  0.351  0.416  0.259  0.375  0.437  0.387  0.275  0.376  0.367  0.167  0.371
292,1996  0.209  0.454  0.277  0.243  0.234  0.213  0.322  0.351  0.201  0.122  0.308  0.315  0.271
294,1997  0.242  0.288  0.387  0.367  0.310  0.486  0.343  0.404  0.463  0.566  0.607  0.517  0.415
296,1998  0.557  0.791  0.580  0.642  0.632  0.663  0.655  0.647  0.430  0.410  0.375  0.480  0.572
298,1999  0.382  0.595  0.250  0.262  0.241  0.319  0.307  0.299  0.271  0.303  0.279  0.309  0.318
300,2000  0.173  0.489  0.437  0.527  0.299  0.345  0.325  0.374  0.308  0.190  0.241  0.197  0.326
302,2001  0.357  0.385  0.512  0.444  0.483  0.443  0.507  0.499  0.489  0.461  0.686  0.536  0.483
304,2002  0.640  0.634  0.787  0.557  0.497  0.443  0.567  0.496  0.499  0.497  0.488  0.341  0.537
306,2003  0.651  0.481  0.474  0.465  0.514  0.420  0.481  0.611  0.569  0.653  0.490  0.651  0.538
308,2004  0.501  0.629  0.518  0.516  0.347  0.308  0.236  0.459  0.461  0.517  0.646  0.410  0.462
